title,sentiment_score,total score
44 Charles Street,0.5359666666666666,3
A Bite to Remember (Argeneau #5),0.8898,2
A Facebook Affair,0.8268,1
A Fortunate Blizzard,0.9967,1
"A Girl Called Fearless (A Girl Called Fearless, #1)",0.542025,4
"A Greyhound, a Groundhog",0.82405,4
A Little Bit Country,0.9964,1
A Little Princess,0.7579,1
A Love Letter to Whiskey,0.5635,3
"A Raven's Heart (Secrets & Spies, #2)",0.9947,1
A Reason To Stay (Heroes #1),0.65855,4
"A Touch of Crimson (Renegade Angels, #1)",0.9805999999999999,4
"Accidentally Yours (A Match Made in Honeybrook, #1)",0.6453,1
"Alex + Ada, Vol. 1",0.5010102564102563,39
Alice's Adventures in Wonderland & Through the Looking-Glass,0.42305000000000004,2
"Altered (Altered, #1)",0.9605,1
"American Gods (American Gods, #1)",0.9348,1
"An Expert in Murder (Josephine Tey, #1)",-0.19489999999999996,2
Andromeda's Fall (Shadowcat Nation #1),0.9769,1
"Asunder (Dragon Age, #3)",0.9609,2
Balloons Over Broadway: The True Story of the Puppeteer of Macy's Parade,0.8549153846153847,13
Batman Vs. Two-Face,0.8489,1
Batman: The Killing Joke,0.4736327868852458,61
Beach Feet,0.84785,2
"Beautiful Ink (Forever Inked, #1)",0.6988000000000001,5
"Begin Again (Starting Over, #3)",0.9725,1
Big Truths for Little Kids,0.9482,1
Black Friday,-0.15464999999999998,2
"Blood Orchids (Lei Crime, #1)",0.28315999999999997,5
Bodyguard To A Sex God (Bodyguards Inc. #1),0.9969,1
Born a Crime: Stories From a South African Childhood,0.6975897959183672,49
"By Any Other Name (Forbidden, #1)",-0.2058,1
Camille and the Sunflowers: A Story about Vincent van Gogh,0.9298,1
Canterbury Tales,0.9973,1
"Catch Me (Steele Brothers, #1)",0.6562333333333333,3
"Caught in Crystal: A Lyra Novel (Lyra, #4)",0.9267,1
"Chasing Nikki (Chasing Nikki, #1)",0.8787333333333334,3
"Choices of Fate (Fate, #1)",0.9452500000000001,4
Citizen: An American Lyric,0.3049205128205129,117
"Clown'd (XXX'd, #1)",0.9936,1
"Come the Night (The Dangerous Delameres, #1)",0.9898,1
"Connected (Connections, #1)",0.9987,1
Crosswinds (Rising Storm #3),-0.26315,2
"Dark Salvation (Immortalis, #5)",0.998,1
Darkest Before Dawn - The Masked Man Serenade,0.6369,1
"Darkness (New Species, #12)",0.24791428571428575,7
"Devastation (Beastly Tales, #3)",0.91,1
"Dirty Deeds (Dirty, #1)",0.7317,1
Don't Let the Pigeon Drive the Bus!,0.561712,25
Draw Play,0.998,1
"Druid (Tales of Silver Downs, #3)",0.9789,1
"Dungeons & Dragons, Volume 2: First Encounters",0.9177,1
Elemental Magic: All-New Tales of the Elemental Masters,0.8589,2
"Embassy Row (Mycroft Holmes, #2)",0.5106,1
"Embrace the Hunger (Ra's Chosen, #4)",0.8998,1
"End of the Innocence (Innocence, #3)",0.8527799999999999,5
Escape from Mr. Lemoncello's Library (Mr. Lemoncello's Library #1),0.8487000000000001,44
Espresso Macchiato,0.8591,1
"Eva's Eye (Inspector Konrad Sejer, #1)",-0.2732,1
"Eve (Eve, #1)",0.969,1
"Every Dead Thing (Charlie Parker, #1)",-0.02706,5
"Exposed to You (One Night Of Passion, #2)",0.9890000000000001,2
Eyes on You,0.5680888888888889,9
"Fairest (The Lunar Chronicles, #3.5)",-0.8253,1
"Faking It (Ringside Romance, #2)",0.0,1
Fall Into Temptation (Blue Moon #2),0.6559999999999999,1
Fantasy for Sale,0.9926,1
Fatal Intent,0.8767499999999999,2
"Fer-de-Lance (Nero Wolfe, #1)",0.6502,3
Fire Dreams,-0.3937,1
"First Rider's Call (Green Rider, #2)",0.8462,1
"For Better or Worse (The Wedding Belles, #2)",0.9993,1
"Forever (The Wolves of Mercy Falls, #3)",0.5621714285714285,7
Forever Amish,0.9451,2
"Forever with You (Wait for You, #5)",0.9182666666666667,3
"Foxglove Summer (Peter Grant, #5)",0.613,2
Fraternize,0.9992,1
French Toast,0.8211333333333334,3
Fun Home: A Family Tragicomic,0.53398,15
George and Martha,0.8505,2
"Giant Days, Vol. 4 (Giant Days, #4)",0.4480363636363636,11
Girl With a White Dog,0.8625,1
Good Queen Bess: The Story of Elizabeth I of England,0.8909999999999999,1
Grace for Drowning,0.999,1
"Green Rider (Green Rider, #1)",0.65108,5
"Gregor the Overlander (Underland Chronicles, #1)",0.3056,1
"Gus (Bright Side, #2)",0.7794285714285715,7
Hellhole,0.6998,1
Her,-0.5859,1
"High Contrast (Evolution Ink, #1)",0.9822,1
"Hollow City (Miss Peregrine's Home for Peculiar Children, # 2)",0.9953,1
Holy Smoke (The Supernatural Bounty Hunter Files Book 8 of 10),0.4404,1
Home for a Bunny,0.6275999999999999,2
How to Knock Out Nightmares,0.9587,1
Huntress,0.7989357142857143,14
"I Heart You, You Haunt Me",0.8947200000000001,5
I Wrote This For You,0.6077662650602408,83
Ice Men of North Dakota (Dakota Heat #5),0.3182,1
"Iniquity (The Premonition, #5)",0.7942,1
Inspire Me: A Hot Rod Novel,0.9618,1
Jabberwocky,0.9019,1
Just Gotta Say,0.4882,2
Just Helping My Dad,0.9755,1
"Kept from You (Tear Asunder, #4)",0.9987,1
"Laces and Lace (Assassins, #6)",0.241725,4
Lead Us Not,0.6369,1
Learning to Love (Carson Hill Ranch #1),0.6124,1
"Left Drowning (Left Drowning, #1)",0.6491642857142856,14
Legally Charming (Ever After #1),0.9995,1
"Leveled (Saints of Denver, #0.5)",0.9864,1
Logan (Wild Boys After Dark #1; After Dark #1; Love in Bloom #43),0.9927,1
Losing It All,0.9419500000000001,2
"Lost Rider (Coming Home, #1)",0.9437,1
