title,sentiment_score,total score
"A Greyhound, a Groundhog",0.82405,4
A Little Princess,0.7579,1
Alice's Adventures in Wonderland & Through the Looking-Glass,0.42305000000000004,2
Balloons Over Broadway: The True Story of the Puppeteer of Macy's Parade,0.8549153846153847,13
Beach Feet,0.84785,2
Big Truths for Little Kids,0.9482,1
Camille and the Sunflowers: A Story about Vincent van Gogh,0.9298,1
Canterbury Tales,0.9973,1
Don't Let the Pigeon Drive the Bus!,0.561712,25
Escape from Mr. Lemoncello's Library (Mr. Lemoncello's Library #1),0.8487000000000001,44
French Toast,0.8211333333333334,3
George and Martha,0.8505,2
Girl With a White Dog,0.8625,1
Good Queen Bess: The Story of Elizabeth I of England,0.8909999999999999,1
Home for a Bunny,0.6275999999999999,2
How to Knock Out Nightmares,0.9587,1
Just Helping My Dad,0.9755,1
Magic Words: From the Ancient Oral Tradition of the Inuit,0.9602333333333334,3
Martin Luther: A Man Who Changed The World,0.7184,1
My Pet Book,0.81465,2
Sophie's Squash,0.6904166666666667,6
Storm Runners (Storm Runners #1),0.5932,3
Strega Nona,0.5093909090909091,11
The Brilliant Fall of Gianna Z.,0.6450333333333333,3
The Candymakers and the Great Chocolate Chase,0.9904,1
The Center of Everything,0.6750666666666666,9
The Cow Who Climbed a Tree,0.9074,2
The Dreamsnatcher (Dreamsnatcher #1),0.9936,1
"The Japanese Tsunami, 2011 (I Survived, #8)",-0.9314,1
The Little Prince & Letter to a Hostage,0.4884,2
"The Misadventures of the Family Fletcher (Family Fletcher, #1)",0.7992444444444443,9
The Secret Chicken Society,0.9485,1
The Secret Garden,0.27399999999999997,3
The Snow Queen,0.9837666666666666,3
The Story of Growl,-0.17075000000000004,2
The True Blue Scouts of Sugar Man Swamp,0.84935,2
The Very Hairy Bear.,0.0049,1
The Very Hungry Zombie: A Parody,0.7637,2
"The Vile Village (A Series of Unfortunate Events, #7)",0.7406,1
The Year of the Book (Anna Wang #1),0.7626333333333334,6
WOOF,0.9902,1
Wishtree,0.8161222222222223,9
You Hold Me Up,0.9229999999999999,1
Z Is for Moose,0.5177111111111111,9
