title,sentiment_score,total score
A Reason To Stay (Heroes #1),0.5478333333333334,3
"An Expert in Murder (Josephine Tey, #1)",-0.19489999999999996,2
Black Friday,-0.15464999999999998,2
"Blood Orchids (Lei Crime, #1)",0.28315999999999997,5
"Embassy Row (Mycroft Holmes, #2)",0.5106,1
"Eva's Eye (Inspector Konrad Sejer, #1)",-0.2732,1
"Every Dead Thing (Charlie Parker, #1)",-0.02706,5
Eyes on You,0.5680888888888889,9
Fatal Intent,0.8767499999999999,2
"Fer-de-Lance (Nero Wolfe, #1)",0.6502,3
Her,-0.5859,1
"Mortal Arts (Lady Darby Mystery, #2)",0.18114999999999998,2
"Murder Unleashed (Dead-End Job Mystery, #5)",-0.2145,1
"Old City Hall (Detective Greene, #1)",0.9503,1
Penpal,0.039257142857142865,7
"Proof (Bloodline Trilogy, #1)",0.7178,1
"Send Lawyers, Guns, and Roses (Heart and Haven, #2)",-0.6233,1
"Still Life in Brunswick Stew (A Cherry Tucker Mystery, #2)",-0.9524,1
"The Big Sleep (Philip Marlowe, #1)",0.8834,1
"The Burning Room (Harry Bosch, #19; Harry Bosch Universe, #26)",0.5638785714285716,14
The Cairo Affair,0.043050000000000005,4
The Couple Next Door,0.42834000000000005,35
The Deep,0.335725,12
The Dumas Club,0.5849,1
"The Golden Spiders (Nero Wolfe, #22)",0.1779,1
The Harrowing,0.9915,1
The House of Memory (Pluto's Snitch #2),0.431,1
The Innocent Man: Murder and Injustice in a Small Town,-0.25648181818181814,11
The Last Juror,0.2821444444444445,9
The Little Friend,0.12833333333333335,18
The Long Drop,0.10396666666666665,3
The Magic Circle,0.991,1
The Medicine Man: Book 2,0.7206,1
The Missing Ones,0.9916499999999999,2
The Ones We Trust,0.712,2
The Perfect Girl,0.0,1
The Redeemer,0.7181,1
The Song Is You,0.9246,1
The Third Twin,-0.1273666666666667,3
"The shape of water (Inspector Montalbano, #1).",0.4417,1
There Will Be Lies,0.06189999999999999,3
There's Someone Inside Your House,-0.1174888888888889,9
You Will Know Me,0.5686812499999998,16
